iter	Passed	Remaining
0	28	28476
1	48	23970
2	64	21421
3	79	19856
4	95	18973
5	111	18476
6	127	18113
7	144	17869
8	161	17730
9	176	17490
10	192	17316
11	208	17139
12	224	17030
13	239	16880
14	258	16951
15	277	17065
16	293	16999
17	310	16963
18	326	16868
19	342	16798
20	359	16736
21	375	16705
22	393	16702
23	412	16779
24	430	16792
25	448	16782
26	465	16781
27	482	16766
28	500	16765
29	519	16789
30	535	16746
31	554	16764
32	571	16747
33	587	16686
34	602	16624
35	619	16582
36	636	16555
37	652	16507
38	667	16450
39	683	16408
40	699	16354
41	715	16323
42	731	16274
43	747	16245
44	764	16220
45	781	16201
46	799	16215
47	817	16214
48	833	16186
49	849	16147
50	868	16159
51	888	16197
52	907	16211
53	944	16553
54	966	16603
55	985	16605
56	1005	16630
57	1023	16621
58	1041	16618
59	1062	16649
60	1081	16647
61	1100	16644
62	1118	16636
63	1137	16639
64	1156	16635
65	1176	16646
66	1197	16671
67	1215	16655
68	1232	16629
69	1250	16607
70	1272	16648
71	1290	16628
72	1309	16634
73	1328	16627
74	1347	16616
75	1366	16611
76	1383	16579
77	1400	16551
78	1418	16534
79	1436	16519
80	1454	16499
81	1472	16487
82	1492	16486
83	1511	16477
84	1527	16445
85	1544	16410
86	1561	16390
87	1579	16367
88	1598	16360
89	1614	16328
90	1632	16306
91	1649	16274
92	1665	16241
93	1682	16218
94	1701	16208
95	1718	16186
96	1736	16165
97	1754	16152
98	1773	16141
99	1791	16124
100	1809	16104
101	1825	16075
102	1844	16061
103	1864	16063
104	1881	16035
105	1898	16012
106	1916	15992
107	1935	15986
108	1953	15968
109	1969	15937
110	1988	15922
111	2005	15898
112	2023	15880
113	2040	15856
114	2056	15822
115	2071	15787
116	2087	15757
117	2105	15739
118	2121	15707
119	2137	15674
120	2152	15639
121	2169	15612
122	2184	15577
123	2200	15544
124	2217	15522
125	2233	15495
126	2250	15469
127	2266	15442
128	2283	15417
129	2301	15399
130	2317	15370
131	2334	15348
132	2349	15317
133	2366	15291
134	2382	15262
135	2397	15229
136	2412	15198
137	2428	15167
138	2443	15136
139	2458	15103
140	2474	15074
141	2491	15051
142	2507	15030
143	2524	15004
144	2540	14978
145	2556	14952
146	2572	14929
147	2589	14904
148	2605	14883
149	2622	14862
150	2639	14837
151	2655	14815
152	2672	14794
153	2689	14775
154	2705	14751
155	2724	14739
156	2739	14709
157	2757	14695
158	2773	14671
159	2791	14656
160	2807	14629
161	2822	14598
162	2839	14579
163	2855	14555
164	2870	14528
165	2887	14504
166	2903	14482
167	2919	14460
168	2937	14443
169	2953	14421
170	2969	14397
171	2985	14373
172	3003	14358
173	3020	14339
174	3037	14321
175	3054	14299
176	3071	14280
177	3088	14261
178	3105	14245
179	3122	14225
180	3138	14201
181	3154	14178
182	3170	14154
183	3186	14130
184	3201	14103
185	3217	14081
186	3233	14059
187	3251	14042
188	3267	14021
189	3285	14005
190	3302	13986
191	3318	13964
192	3334	13944
193	3352	13927
194	3368	13905
195	3384	13885
196	3400	13861
197	3416	13837
198	3432	13815
199	3449	13797
200	3466	13780
